date,rating,create,care,talk,move,work,read,write
4/20/20,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
4/21/20,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
4/22/20,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
4/23/20,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
4/24/20,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
4/25/20,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
4/26/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
4/27/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
4/28/20,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
4/29/20,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
4/30/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
5/1/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
5/2/20,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
5/3/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
5/4/20,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
5/5/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
5/6/20,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/7/20,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/8/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/9/20,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
5/10/20,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/11/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/12/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/13/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/14/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/15/20,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
5/16/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/17/20,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
5/18/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/19/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
5/20/20,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5/21/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/22/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
5/23/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/24/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
5/25/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/26/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
5/27/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
5/28/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
5/29/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
5/30/20,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
5/31/20,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
6/1/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/2/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
6/3/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/4/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/5/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
6/6/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
6/7/20,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
6/8/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/9/20,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,
6/10/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
6/11/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
6/12/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/13/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/14/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/15/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
6/16/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
6/17/20,3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,
6/18/20,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
6/19/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
6/20/20,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
6/21/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
6/22/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/23/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/24/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
6/25/20,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
6/26/20,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,
6/27/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
6/28/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
6/29/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
6/30/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
7/1/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
7/2/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
7/3/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/4/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
7/5/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/6/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
7/7/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
7/8/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/9/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/10/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/11/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
7/12/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/13/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/14/20,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
7/15/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
7/16/20,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,
7/17/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/18/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
7/19/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/20/20,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
7/21/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/22/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
7/23/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
7/24/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
7/25/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/26/20,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
7/27/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
7/28/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
7/29/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
7/30/20,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
7/31/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
8/1/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
8/2/20,3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,
8/3/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
8/4/20,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,
8/5/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
8/6/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
8/7/20,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
8/8/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
8/9/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
8/10/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
8/11/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
8/12/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
8/13/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
8/14/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
8/15/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
8/16/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
8/17/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
8/18/20,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
8/19/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
8/20/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
8/21/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
8/22/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
